1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English surname transferred to unisex forename use, from the name of a South African town first brought to the public's notice by the Boer War in the 19th century. The town was named for Lord Kimberley whose ancestors derived their name from a place in England composed of the Old English elements cyne "king," burg "city" and leah "meadow, pasture," hence "King's City Meadow." | female. KIMBERLEY
1: English surname transferred to unisex forename use, from the name of a South African town first brought to the public's notice by the Boer War in the 19th century. The town was named for Lord Kimberley whose ancestors derived their name from a place in England composed of the Old English elements cyne "king," burg "city" and leah "meadow, pasture," hence "King's City Meadow." | male. KIMBERLEY
1: English surname transferred to unisex forename use, from the name of various places called Cyningesleah, composed of the Old English elements cyne "king," and leah "meadow, pasture," hence "king's meadow." | female. KINGSLEY
1: English surname transferred to unisex forename use, from the name of various places called Cyningesleah, composed of the Old English elements cyne "king," and leah "meadow, pasture," hence "king's meadow." | male. KINGSLEY
1: English surname transferred to unisex forename use, from the name of various places composed of the Old English elements ripel "strip of land" and leah "clearing, meadow," hence "cleared strip of land." | female. RIPLEY
1: English surname transferred to unisex forename use, from the name of various places composed of the Old English elements ripel "strip of land" and leah "clearing, meadow," hence "cleared strip of land." | male. RIPLEY
1: English topographic surname transferred to forename use, derived from Middle English atten ash ("at the ash"), hence "lives by an ash tree." | male. NASH
1: English topographic surname transferred to forename use, derived from Old English lane "narrow pathway," hence "lives by a lane." | male. LANE
1: English topographic surname transferred to forename use, derived from the Old English word fenn "fen," hence "lives by a fen/marsh." | male. VANCE
1: English topographic surname transferred to forename use, from the American spelling of the French surname Garrigue, from Old Provençal garrique, meaning "grove of holm oaks." Compare with another form of Garrick. | male. GARRICK
1: English unisex name composed of the Old English elements heg "hay" and denu "valley," hence "hay valley." | female. HAYDEN
1: English unisex name composed of the Old English elements heg "hay" and denu "valley," hence "hay valley." | male. HAYDEN
1: English unisex name derived from Middle English haven (Old English hæfen), meaning "haven, refuge." | female. HAVEN
1: English unisex name derived from Middle English haven (Old English hæfen), meaning "haven, refuge." | male. HAVEN
1: English unisex name derived from the bird name raven, from Old English hræfn, so-called from the harsh sounds it makes. | female. RAVEN
1: English unisex name derived from the bird name, raven, from Old English hræfn, so-called from the harsh sounds it makes. | male. RAVEN
1: English unisex name derived from the bird name "sparrow." | female. SPARROW
1: English unisex name derived from the bird name "sparrow." | male. SPARROW
1: English unisex name derived from the first letter of the Greek alphabet. | female. ALPHA (Άλφα)
1: English unisex name derived from the first letter of the Greek alphabet. | male. ALPHA (Άλφα)
1: English unisex name derived from the Gaelic surname Ó Caiside, "descendant of Caiside," hence "curly(-headed)." | female. CASSIDY
1: English unisex name derived from the holiday name "Easter," which is related to Old English Eosturmónaþ/Eastermónaþ, meaning "April." | female. EASTER
1: English unisex name derived from the holiday name "Easter," which is related to Old English Eosturmónaþ/Eastermónaþ, meaning "April." | male. EASTER
1: English unisex name derived from the last letter of the Greek alphabet. This name was used occasionally by Victorian parents for a "last-born child." | female. OMEGA (Ωμέγα)
1: English unisex name derived from the last letter of the Greek alphabet. This name was used occasionally by Victorian parents for a "last-born child." | male. OMEGA (Ωμέγα)
1: English unisex name derived from the name of an Irish county, Ciarraí, meaning "Ciar's people." Compare with strictly feminine Kerry. | male. KERRY
1: English unisex name derived from the name of an Irish county, Ciarraí, meaning "Ciar's people." Variant spelling of English Carrie, meaning "man." | female. KERRY
1: English unisex name derived from the name of a river in Ireland, composed of the Gaelic elements sean "old, wise" and abhann "river," hence "old river" or "river of wisdom." | female. SHANNON
1: English unisex name derived from the name of a river in Ireland, composed of the Gaelic elements sean "old, wise" and abhann "river," hence "old river" or "river of wisdom." | male. SHANNON
1: English unisex name derived from the name of the Native American people, from Dakota Sioux � ahíyena, meaning "little � ahíya" or "little red-talker." | female. CHEYENNE
